Date/Time,TSP,WSP,CONTROL PV,CHANNEL 1,CHANNEL 2,CHANNEL 3,CHANNEL 4,CHANNEL 5,CHANNEL 6,CHANNEL 7,CHANNEL 8
42744.18867,300,300,71.01669312,69.31604767,60.52355194,68.73426819,67.60791016,67.80444336,67.43106079,67.75493622,67.45362091
42744.18903,72.67597961,72.67597961,76.36672211,69.44078064,60.65092468,68.63774109,67.5979538,67.74002075,67.38529205,67.77763367,67.41529083
42744.18939,73.76771545,73.76771545,87.54144287,70.14804077,61.77886963,68.62966156,67.63169098,67.78074646,67.43023682,67.7624588,67.46896362
42744.18962,73.76771545,73.76771545,87.30089569,70.31074524,62.04805756,68.73029327,67.73734283,67.85221863,67.62709808,67.83269501,67.58753204
42744.18998,73.76771545,73.76771545,88.97585297,70.65251923,62.52900696,68.69147491,67.80963898,67.91277313,67.74282837,67.96769714,67.74578857
42744.19034,73.76771545,73.76771545,88.83039093,70.87761688,63.02853394,68.54277802,67.76780701,67.9150238,67.6336441,67.8943634,67.79122925
42744.1907,73.76771545,73.76771545,88.78501892,71.17433929,63.55090332,68.50841522,67.78511047,67.83815765,67.58681488,67.85405731,67.86912537
42744.19105,73.76771545,73.76771545,87.88285828,71.4985199,63.94966125,68.46430206,67.74037933,67.8109436,67.60691071,67.87734222,67.92980957
42744.19141,73.76771545,73.76771545,86.93093109,71.78463745,64.33540344,68.45056915,67.76862335,67.83978271,67.71170807,67.99401855,68.03279114
42744.19177,73.76771545,73.76771545,85.65319824,72.01477814,64.77255249,68.45406342,67.77700806,67.86895752,67.75547791,67.9668045,68.19332123
42744.19213,73.76771545,73.76771545,84.04933929,72.25088501,65.18167114,68.38882446,67.76136017,67.8844223,67.66194153,67.99069214,68.21498108
42744.19249,75.9511795,75.9511795,82.81751251,72.47134399,65.52285004,68.36193085,67.81168365,67.85462952,67.71086884,67.97484589,68.22022247
42744.19285,78.60101318,78.60101318,82.21298981,72.70394897,65.92493439,68.22888184,67.71268463,67.79883575,67.68273926,67.98574066,68.23334503
42744.19321,81.22964478,81.22964478,82.31472778,72.92620087,66.2897644,68.15135193,67.70628357,67.7394104,67.65882111,67.90414429,68.22859192
42744.19345,83.02093506,83.02093506,82.63922119,73.01291656,66.49256897,68.13291168,67.64794159,67.64541626,67.64042664,67.8844223,68.10419464
42744.19381,85.63897705,85.63897705,84.53131866,73.23167419,66.93518066,68.17139435,67.72264099,67.71863556,67.74027252,67.88354492,68.20355988
42744.19417,88.25701141,88.25701141,85.24338531,73.56163025,67.33413696,68.22422791,67.87970734,67.85631561,67.88153839,68.07975006,68.43115997
42744.19452,90.88564301,90.88564301,87.6885376,73.77546692,67.77659607,68.18758392,67.83971405,67.89229584,67.87554932,68.12973022,68.39770508
42744.19488,93.50367737,93.50367737,89.40836334,74.2219162,68.22481537,68.14228821,67.86923981,67.92764282,67.90502167,68.11640167,68.54611969
42744.19524,96.12171936,96.12171936,91.57836151,74.75090027,68.69262695,68.24932098,67.98374176,68.0304184,68.00002289,68.19903564,68.55715942
42744.1956,98.72915649,98.72915649,93.73861694,75.17834473,69.2190094,68.29410553,68.01878357,68.1029892,68.03053284,68.21925354,68.56384277
42744.19595,101.3577881,101.3577881,96.02535248,75.76042938,69.77900696,68.26914215,68.03259277,68.07645416,68.02859497,68.20568848,68.56365967
42744.19631,103.9758301,103.9758301,98.36290741,76.3113327,70.42268372,68.25610352,67.98088837,68.06479645,67.94113159,68.21717072,68.57486725
42744.19667,106.5938644,106.5938644,100.8528061,76.88289642,70.94125366,68.18815613,68.00924683,67.95243835,67.94006348,68.14823151,68.49212646
42744.19703,109.2225037,109.2225037,103.4073715,77.5333252,71.58217621,68.21812439,68.03062439,68.01854706,67.9390564,68.16204834,68.49930573
42744.19739,111.8511353,111.8511353,106.0215225,78.20276642,72.31365967,68.12425995,67.99168396,67.90879822,67.89322662,68.08152008,68.39064789
42744.19774,114.4585724,114.4585724,108.6669464,78.92694855,72.9772644,68.10058594,68.01107025,67.91024017,67.81877899,68.04889679,68.35166168
42744.19798,116.2074585,116.2074585,110.4804001,79.46866608,73.45549011,68.08145142,68.00732422,67.91092682,67.8147049,68.03409576,68.3058548
42744.19834,118.8255005,118.8255005,113.1262894,80.26694489,74.30060577,68.04864502,67.95796204,67.81608582,67.74578857,68.00349426,68.28569031
42744.1987,121.4435425,121.4435425,115.8895416,81.25917053,75.09348297,68.02007294,67.97541809,67.83273315,67.85485077,68.05075073,68.30094147
42744.19905,124.0509796,124.0509796,118.6084671,82.0945816,75.89919281,67.96240997,67.93927002,67.7645874,67.74412537,67.97666168,68.27345276
42744.19941,126.6796112,126.6796112,121.5170364,83.03478241,76.8045578,67.87006378,67.89489746,67.76193237,67.72140503,67.90036774,68.18099976
42744.19977,129.2870483,129.2870483,124.1414032,84.03909302,77.6714859,67.81972504,67.84966278,67.70969391,67.71730042,67.89811707,68.14230347
42744.20012,131.9050903,131.9050903,127.0601044,85.12993622,78.62099457,67.90107727,67.9043045,67.7467804,67.74755859,67.93930817,68.20219421
42744.20048,134.5231171,134.5231171,129.8248291,86.12834167,79.55851746,67.8275528,67.85962677,67.74319458,67.75042725,67.97193146,68.14290619
42744.20084,137.1411438,137.1411438,132.6796875,87.23212433,80.5954895,67.75997925,67.83951569,67.65291595,67.68128204,67.88015747,68.06789398
42744.2012,139.7485962,139.7485962,135.5237885,88.36573792,81.58113861,67.80001068,67.89614105,67.69265747,67.74149323,67.85614777,68.07093048
42744.20155,142.3666382,142.3666382,138.2452698,89.54457855,82.6817627,67.81600952,67.83766174,67.61425018,67.64855957,67.82481384,68.09292603
42744.20191,144.9846649,144.9846649,141.044281,90.72776794,83.74040222,67.77012634,67.78491211,67.58940125,67.5710144,67.87729645,68.03253174
42744.20227,147.5921021,147.5921021,143.7297668,92.03966522,84.82910156,67.72558594,67.78331757,67.60514069,67.64476776,67.83311462,68.0612793
